 Mapping      |   Command
        -----------------------------
        <leader>rr   |   VtrResizeRunner<cr>
        <leader>ror  |   VtrReorientRunner<cr>
        <leader>sc   |   VtrSendCommandToRunner<cr>
        <leader>sl   |   VtrSendLineToRunner<cr>
        <leader>or   |   VtrOpenRunner<cr>
        <leader>kr   |   VtrKillRunner<cr>
        <leader>fr   |   VtrFocusRunner<cr>
        <leader>dr   |   VtrDetachRunner<cr>
        <leader>ar   |   VtrReattachRunner<cr>
        <leader>cr   |   VtrClearRunner<cr>
        <leader>fc   |   VtrFlushCommand<cr>
