a presto       | bis bald
abbinare       | verbinden
ascoltare      | zuhoeren
a dopo         | bis spaeter
cosa vuol dire | was heisst
cosa significa | was bedeutet
ma certo       | aber sicher
dunque         | also
a coppie       | paarweise
nel mondo | um die Welt
ragazzo | Junge
ragazza | Maedchen
ragazzi | Jugendlichen
fare | machen
ipotesi | Hypothese
domanad | Frage
rispondere | beantworten
dove | wo
stazione | Bahnhof
ancora una volta | noch einmal
sottolineare | unterstreichen
piacere | angenehm
